name,r,y,x,index,vy,vx,weight
turn_off,7.462288826689832,1192.4234901035825,1159.252716948312,35,-0.16332586190177942,-0.29205957153641976,2
pause1,7.462288826689832,1153.3630270063072,992.0333083859298,36,-0.15919231046083873,-0.29294006072453355,2
pause2,7.462288826689832,1233.2874773716162,992.7447149006656,37,-0.15843034116398666,-0.2916684087638503,2
handle_keyboard,125.97008581328876,1321.4494994359634,1946.1437627745877,38,-0.1681228260933899,-0.2902331347640707,40
check,24.952623149688797,1234.440582435882,2155.1146776380506,39,-0.16722445989860538,-0.28928255293031746,10
maybe_j,6,1496.4314565172715,1853.6269143664754,40,-0.16752899229579432,-0.2901403641238021,1
maybe_k,7.462288826689832,1455.3279370060616,2094.900009869764,41,-0.16860596383650472,-0.28920431547972586,2
change_dir_down,9.171167510947729,1508.9018094034889,1598.434327984228,42,-0.16523142619367195,-0.28865831208582726,3
maybe_h,7.462288826689832,1304.4811051010577,2145.5531766642616,43,-0.16744762804058175,-0.2897435330668207,2
change_dir_up,9.171167510947729,1487.873307077178,1674.0573778817404,44,-0.16629434181951866,-0.2891476382835435,3
maybe_l,7.462288826689832,1377.9893444803658,2138.1209894443796,45,-0.16821880188540286,-0.28975401169793585,2
change_dir_left,9.171167510947729,1455.385571293723,1613.1404777406574,46,-0.16610453668799383,-0.29033473959167083,3
maybe_p,7.462288826689832,1520.4513097062734,1967.3507120975248,47,-0.16773159274418367,-0.28951447508344236,2
change_dir_right,9.171167510947729,1542.7396858712923,1663.2029570594668,48,-0.16564722500990386,-0.28875768428318954,3
maybe_space,7.462288826689832,1225.7510503164701,1770.3809650128323,49,-0.16939123901135394,-0.2901186510946053,2
pause,19.928527864588922,1032.9696479894233,1745.188172169434,50,-0.16715829196981594,-0.29493385367543096,8
maybe_plus,7.462288826689832,1521.0101047159815,1931.0803806430029,51,-0.1676101056604016,-0.28971025272168127,2
show_help,7.462288826689832,1516.4771426803002,1991.0401924979967,52,-0.16785480944888456,-0.289328089385665,2
maybe_minus,7.462288826689832,1514.1471733640724,1892.117653636013,53,-0.16753527385727113,-0.2899130793544619,2
inc_speed,7.462288826689832,1054.4424751314132,1922.5627039343772,54,-0.16423815847547787,-0.29465133045295266,2
maybe_Cc,7.462288826689832,1469.6496156721885,1811.6534202952726,55,-0.16749381991958076,-0.2902780649426259,2
dec_speed,7.462288826689832,1050.6843386394437,1870.056534634906,56,-0.1709028423944389,-0.29606518351987926,2
restore_mode_n_page,7.462288826689832,1346.7993384643366,1674.1981755059599,57,-0.16735681564093044,-0.2907931525081364,2
quit,7.462288826689832,1390.506711161126,1705.5302860328609,58,-0.16743790114434476,-0.29034277236173645,2
main,5,749.1955323643708,2770.0733708623575,59,-0.16256982877508294,-0.2905299922030518,0
parse_args,114.31059072723754,1735.652800042095,2418.6936109084727,60,-0.16563633235237005,-0.2938866904278616,37
store_mode_n_page,5,1225.386666364854,2830.4567736021154,61,-0.18417820975238172,-0.2934064179675552,0
set_mode_n_page,5,505.3411309076859,1088.4288612102994,62,-0.16399591518611814,-0.2924807720022549,0
prepare_map,11.062866266041592,396.5805538201758,2452.4950590386984,63,-0.16063276143415697,-0.28437909060843564,4
prepare_goods,7.462288826689832,459.8950864965865,1897.4808329188213,64,-0.1681682079925992,-0.28536946119593315,2
prepare_snake,7.462288826689832,601.8044394844105,1859.908154269662,65,-0.16603411177403052,-0.2898196590645261,2
main_loop,15.270619156458231,1008.5916512845315,2187.851938803025,66,-0.17095608243494512,-0.29296630650868144,6
game_over,41.75834735990512,1343.0788357879933,1542.6429770028785,67,-0.16574411099257275,-0.2918981128028337,16
game_loop,7.462288826689832,981.4615514602216,2271.812321256352,68,-0.1720904517110324,-0.29314428238509593,2
move_snake,13.103282983463814,715.3208364116076,1564.7588340619366,69,-0.175800324733369,-0.2898413637602813,5
show_score,13.103282983463814,963.4796142966858,2503.1309733089465,70,-0.16489461788383047,-0.2937711656166507,5
wait,6,1039.164768579769,2255.690283613682,71,-0.17108096521232263,-0.2911327995226201,1
init_snake,13.103282983463814,687.0292660456962,1834.103912015196,72,-0.1722006914986724,-0.29666730600820884,5
fill,7.462288826689832,641.0736287279684,1792.4378165518485,73,-0.1762743318579447,-0.29648052661467533,2
draw_top_wall,11.062866266041592,292.9820639243665,2327.1659753833997,74,-0.1618344013666588,-0.28395447109041566,4
draw_bottom_wall,11.062866266041592,344.7369291898645,2366.6430848260993,75,-0.1613835690237677,-0.28529748321932813,4
draw_left_wall,11.062866266041592,382.7358137412511,2327.7606281630406,76,-0.15921200165394178,-0.2836395413901423,4
draw_right_wall,11.062866266041592,427.6833123190657,2381.366856266082,77,-0.16013311023063143,-0.28360737873277747,4
update_head,15.270619156458231,937.9230564721698,1517.1755960930568,78,-0.16679590330795224,-0.3029743672340454,6
update_array,13.103282983463814,351.16870919861674,1564.3646276893694,79,-0.17417712032366664,-0.28128239099143804,5
wall_check,22.398638404385867,1181.5330190914829,1576.0083690834074,80,-0.16791698312733896,-0.29365219694046607,9
cut_check,47.840472942735936,923.0081684312665,1891.048486212093,81,-0.16731014422201054,-0.3070894995436195,18
write_head,7.462288826689832,325.3255109560317,1501.0855632120622,82,-0.17607064229939914,-0.2806110865374032,2
cut,7.462288826689832,868.1711091485388,1969.3179070523413,83,-0.16288964515072477,-0.30667845651994063,2
die,9.171167510947729,879.4789223438128,2027.6057725973774,84,-0.1635138994631335,-0.30586685588420476,3
cutting_loop,7.462288826689832,974.3640110949806,1982.4489677271401,85,-0.162056734938404,-0.29993130660233497,2
stop_cutting,7.462288826689832,931.0217565729284,2009.7244801094716,86,-0.1632022080002968,-0.3063565649974072,2
change_dir,11.062866266041592,1613.2760792584024,1567.915917121898,87,-0.16400996385305056,-0.28916688391775464,4
wait_for_key,9.171167510947729,1302.5673294773121,1744.3352509835368,88,-0.16813192689841616,-0.2907458321856246,3
erase_text,7.462288826689832,1087.4419300408583,1739.4746108316401,89,-0.1674104021632509,-0.2958403737767029,2
draw_block,19.928527864588922,316.3806311197108,2421.996875528375,90,-0.1608606667802173,-0.2842594687790501,8
